<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;15;20161212;161500;61.1900000;61.2225000;61.1450000;61.2000000;26276000
USD000000TOD;15;20161212;163000;61.2025000;61.2125000;61.1075000;61.1400000;28071000
USD000000TOD;15;20161212;164500;61.1450000;61.3050000;61.1275000;61.2400000;32305000
USD000000TOD;15;20161212;170000;61.2375000;61.2900000;61.2225000;61.2800000;16537000
USD000000TOD;15;20161212;171500;61.2725000;61.3300000;61.1150000;61.1525000;18411000
USD000000TOD;15;20161213;101500;61.2175000;61.2500000;60.8675000;61.0125000;110333000
USD000000TOD;15;20161213;103000;61.0150000;61.1075000;60.9400000;60.9925000;80386000
USD000000TOD;15;20161213;104500;60.9950000;61.0400000;60.9700000;61.0400000;63315000
USD000000TOD;15;20161213;110000;61.0450000;61.1075000;61.0100000;61.1025000;101993000
USD000000TOD;15;20161213;111500;61.1025000;61.1825000;61.0675000;61.1575000;74647000
USD000000TOD;15;20161213;113000;61.1600000;61.2275000;61.1150000;61.1950000;44862000
USD000000TOD;15;20161213;114500;61.1950000;61.3150000;61.1850000;61.2800000;56884000
USD000000TOD;15;20161213;120000;61.2725000;61.2900000;61.2125000;61.2450000;35226000
USD000000TOD;15;20161213;121500;61.2375000;61.2575000;61.1075000;61.1300000;46157000
USD000000TOD;15;20161213;123000;61.1275000;61.1275000;60.9000000;60.9725000;117466000
USD000000TOD;15;20161213;124500;60.9750000;61.0675000;60.9425000;61.0100000;58651000
USD000000TOD;15;20161213;130000;61.0075000;61.0250000;60.9525000;61.0100000;51649000
USD000000TOD;15;20161213;131500;61.0150000;61.0500000;60.9900000;61.0375000;40436000
USD000000TOD;15;20161213;133000;61.0375000;61.0475000;60.9850000;61.0300000;35724000
USD000000TOD;15;20161213;134500;61.0325000;61.0500000;61.0025000;61.0025000;42414000
USD000000TOD;15;20161213;140000;61.0100000;61.0400000;61.0050000;61.0225000;39456000
USD000000TOD;15;20161213;141500;61.0150000;61.0300000;60.9625000;60.9975000;35755000
USD000000TOD;15;20161213;143000;61.0000000;61.0200000;60.9475000;60.9975000;37510000
USD000000TOD;15;20161213;144500;60.9950000;61.0100000;60.9375000;60.9475000;11970000
USD000000TOD;15;20161213;150000;60.9425000;60.9475000;60.8425000;60.8625000;42583000
USD000000TOD;15;20161213;151500;60.8675000;60.8750000;60.7100000;60.7225000;45636000
USD000000TOD;15;20161213;153000;60.7325000;60.7325000;60.6125000;60.6925000;56780000
USD000000TOD;15;20161213;154500;60.6975000;60.7625000;60.6775000;60.7500000;23572000
USD000000TOD;15;20161213;160000;60.7475000;60.8475000;60.7400000;60.8175000;31541000
USD000000TOD;15;20161213;161500;60.8100000;60.8625000;60.8000000;60.8500000;17198000
USD000000TOD;15;20161213;163000;60.8600000;60.9200000;60.8000000;60.8225000;37091000
USD000000TOD;15;20161213;164500;60.8200000;60.9775000;60.8025000;60.9125000;27951000
USD000000TOD;15;20161213;170000;60.9150000;60.9750000;60.8550000;60.9375000;25263000
USD000000TOD;15;20161213;171500;60.9250000;60.9500000;60.8900000;60.9100000;11784000
USD000000TOD;15;20161214;101500;60.8650000;60.8650000;60.7150000;60.8100000;105288000
USD000000TOD;15;20161214;103000;60.8150000;60.8500000;60.7350000;60.7625000;78774000
USD000000TOD;15;20161214;104500;60.7500000;60.8200000;60.7300000;60.8200000;38414000
USD000000TOD;15;20161214;110000;60.8225000;60.8250000;60.7850000;60.8250000;33884000
USD000000TOD;15;20161214;111500;60.8250000;60.8675000;60.7800000;60.7850000;69886000
USD000000TOD;15;20161214;113000;60.7850000;60.8350000;60.7650000;60.8025000;63437000
USD000000TOD;15;20161214;114500;60.8000000;60.8125000;60.7625000;60.8000000;61024000
USD000000TOD;15;20161214;120000;60.8000000;60.8025000;60.7400000;60.7825000;94258000
USD000000TOD;15;20161214;121500;60.7825000;60.8125000;60.7600000;60.7900000;39030000
USD000000TOD;15;20161214;123000;60.7925000;60.8100000;60.6875000;60.7150000;70966000
USD000000TOD;15;20161214;124500;60.7150000;60.7450000;60.7075000;60.7350000;48755000
USD000000TOD;15;20161214;130000;60.7350000;60.7925000;60.7225000;60.7850000;28780000
USD000000TOD;15;20161214;131500;60.7800000;60.8100000;60.7725000;60.7725000;48008000
USD000000TOD;15;20161214;133000;60.7800000;60.7900000;60.7725000;60.7800000;21754000
USD000000TOD;15;20161214;134500;60.7800000;60.7800000;60.7400000;60.7700000;18431000
USD000000TOD;15;20161214;140000;60.7700000;60.7775000;60.7300000;60.7525000;18064000
USD000000TOD;15;20161214;141500;60.7550000;60.8000000;60.7550000;60.7775000;29289000
USD000000TOD;15;20161214;143000;60.7850000;60.9250000;60.7775000;60.9075000;59030000
USD000000TOD;15;20161214;144500;60.9050000;60.9400000;60.8625000;60.8875000;43615000
USD000000TOD;15;20161214;150000;60.8900000;60.9075000;60.8600000;60.8975000;38147000
USD000000TOD;15;20161214;151500;60.8975000;60.9050000;60.8725000;60.8975000;20914000
USD000000TOD;15;20161214;153000;60.9000000;60.9200000;60.8925000;60.8925000;33212000
USD000000TOD;15;20161214;154500;60.9000000;60.9150000;60.8750000;60.9000000;30025000
USD000000TOD;15;20161214;160000;60.9000000;61.1000000;60.8975000;61.0750000;66845000
USD000000TOD;15;20161214;161500;61.0825000;61.2475000;61.0775000;61.1875000;106666000
USD000000TOD;15;20161214;163000;61.1775000;61.1825000;61.1250000;61.1750000;39747000
USD000000TOD;15;20161214;164500;61.1750000;61.2250000;61.1075000;61.1650000;33020000
USD000000TOD;15;20161214;170000;61.1650000;61.1900000;61.1200000;61.1500000;34080000
USD000000TOD;15;20161214;171500;61.1700000;61.1700000;61.0775000;61.1200000;9988000
USD000000TOD;15;20161215;101500;61.8375000;61.9800000;61.4825000;61.6075000;246446000
USD000000TOD;15;20161215;103000;61.6050000;61.7300000;61.4700000;61.6350000;279090000
USD000000TOD;15;20161215;104500;61.6375000;61.6700000;61.4775000;61.5975000;257994000
USD000000TOD;15;20161215;110000;61.5900000;61.7050000;61.5900000;61.6425000;126289000
USD000000TOD;15;20161215;111500;61.6350000;61.6750000;61.5750000;61.6150000;119615000
USD000000TOD;15;20161215;113000;61.6225000;61.6675000;61.5825000;61.6000000;207522000
USD000000TOD;15;20161215;114500;61.6025000;61.7200000;61.5875000;61.6325000;129468000
USD000000TOD;15;20161215;120000;61.6325000;61.6950000;61.6300000;61.6350000;62262000
USD000000TOD;15;20161215;121500;61.6425000;61.6900000;61.6250000;61.6300000;75487000
USD000000TOD;15;20161215;123000;61.6225000;61.6725000;61.5725000;61.5775000;196754000
USD000000TOD;15;20161215;124500;61.5800000;61.6300000;61.5400000;61.5525000;158423000
USD000000TOD;15;20161215;130000;61.5425000;61.6025000;61.4975000;61.5675000;46382000
USD000000TOD;15;20161215;131500;61.5725000;61.5925000;61.3475000;61.3475000;146788000
USD000000TOD;15;20161215;133000;61.3475000;61.4900000;61.3075000;61.4900000;84665000
USD000000TOD;15;20161215;134500;61.4775000;61.6350000;61.4775000;61.5700000;196255000
